Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
14,"L Dräger","Central bank communication with the general public",2025,"The Routledge Handbook of Economic Expectations in …","taylorfrancis.com","https://www.taylorfrancis.com/chapters/oa-edit/10.4324/9781003379010-14/central-bank-communication-general-public-lena-dr%C3%A4ger","https://scholar.google.com/scholar?cites=2001276701419762157&as_sdt=2005&sciodt=2007&hl=en",1,"2026-02-04 17:13:16","","10.4324/9781003379010-14/central-bank-communication-general-public-lena-dr%C3%A4ger","",,,,,,14,14.00,14,1,1,"… So, can central bank communication achieve the goal of … between the effects of central bank communication and the formation … interdependence of central bank communication and the …","https://api.taylorfrancis.com/content/chapters/oa-edit/download?identifierName=doi&identifierValue=10.4324/9781003379010-14&type=chapterpdf","https://scholar.google.com/scholar?q=related:7fFjhY72xRsJ:scholar.google.com/&scioq=%22central+bank+communication%22&hl=en&as_sdt=2007&as_ylo=2025&as_yhi=2025"
3,"N Baerg, D Duell, W Lowe","Central bank communication as public opinion?",2025,"Journal of Political Institutions and …","emerald.com","https://www.emerald.com/jpipe/article/6/2/211/1325682","https://scholar.google.com/scholar?cites=12105277727289484227&as_sdt=2005&sciodt=2007&hl=en",2,"2026-02-04 17:13:16","","","",,,,,,3,3.00,1,3,1,"… We show that while central bank communication works in a technical sense in moving … in central bank legitimacy makes central bank communication strategies more difficult to implement…","https://nicolebaerg.com/wp-content/uploads/2025/01/BDL_2024.pdf","https://scholar.google.com/scholar?q=related:w6OJ2vSV_qcJ:scholar.google.com/&scioq=%22central+bank+communication%22&hl=en&as_sdt=2007&as_ylo=2025&as_yhi=2025"
0,"K Madan, A Dubey","Tracing the Literature on Central Bank Communication: A Bibliometric Review",2025,"Bulletin of Monetary Economics and …","bulletin.bmeb-bi.org","https://bulletin.bmeb-bi.org/bmeb/vol28/iss4/3/","",3,"2026-02-04 17:13:16","","","",,,,,,0,0.00,0,2,1,"… research trends in central bank communication, as well as the … : types of central bank communication, macroeconomic effects… could explore informal central bank communication and …","https://bulletin.bmeb-bi.org/cgi/viewcontent.cgi?article=2371&context=bmeb","https://scholar.google.com/scholar?q=related:okh2oqlR-yMJ:scholar.google.com/&scioq=%22central+bank+communication%22&hl=en&as_sdt=2007&as_ylo=2025&as_yhi=2025"
8,"P Kuang, M Weber, S Xie","Central bank communication with the polarized public",2025,"","nber.org","https://www.nber.org/papers/w33524","https://scholar.google.com/scholar?cites=8631751084094967362&as_sdt=2005&sciodt=2007&hl=en",4,"2026-02-04 17:13:16","","","",,,,,,8,8.00,3,3,1,"… Our results underscore the importance of strategic central bank communication in politically … Existing work emphasizes central bank communication as a tool for managing inflation …","https://www.nber.org/system/files/working_papers/w33524/w33524.pdf","https://scholar.google.com/scholar?q=related:Qs4SxeAjyncJ:scholar.google.com/&scioq=%22central+bank+communication%22&hl=en&as_sdt=2007&as_ylo=2025&as_yhi=2025"
2,"A Jung, FP Mongelli","Central bank communication with non-experts: insights from a randomized field experiment",2025,"","papers.ssrn.com","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5408350","https://scholar.google.com/scholar?cites=12165920382272875050&as_sdt=2005&sciodt=2007&hl=en",5,"2026-02-04 17:13:16","","","",,,,,,2,2.00,1,2,1,"… This research examines the impact of direct central bank communication with non-experts on their understanding of monetary policy and macroeconomic expectations. Our study is …","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=5408350","https://scholar.google.com/scholar?q=related:KioPPyEI1qgJ:scholar.google.com/&scioq=%22central+bank+communication%22&hl=en&as_sdt=2007&as_ylo=2025&as_yhi=2025"
0,"J Vardy","20 Years of Central Bank Communication–Lessons Learned",,"rba.gov.au","","https://www.rba.gov.au/publications/confs/2024/pdf/rba-conference-2024-macklem-vardy-discussion.pdf","",6,"2026-02-04 17:13:16","PDF","","",,,,,,0,0.00,0,1,,"… This paper provides a thoughtful reflection on the evolution of central bank communication to the general public over the past two decades. It highlights eight key lessons, which I will …","https://www.rba.gov.au/publications/confs/2024/pdf/rba-conference-2024-macklem-vardy-discussion.pdf","https://scholar.google.com/scholar?q=related:B0SoMbAgXWsJ:scholar.google.com/&scioq=%22central+bank+communication%22&hl=en&as_sdt=2007&as_ylo=2025&as_yhi=2025"
0,"LC LEEK","The rise of central bank talk: essays in central bank communication and independence",2025,"","cadmus.eui.eu","https://cadmus.eui.eu/entities/publication/33efe04e-0d2c-4ad2-b767-786596e7a580","",7,"2026-02-04 17:13:16","","","",,,,,,0,0.00,0,1,1,"… Both central bank independence and central bank communication have drastically expanded globally … I argue that central bank communication is not merely a neutral tool for information …","https://cadmus.eui.eu/bitstreams/22ba94a5-5a55-4f19-b8b3-45765c0e5f60/download","https://scholar.google.com/scholar?q=related:CArl7VYEm2IJ:scholar.google.com/&scioq=%22central+bank+communication%22&hl=en&as_sdt=2007&as_ylo=2025&as_yhi=2025"
0,"CA De la Huerta Avila","The Role of Clarity in Central Bank Communication: Evidence from a Small Open Economy",2025,"Available at SSRN 5248442","papers.ssrn.com","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5248442","",8,"2026-02-04 17:13:16","","","",,,,,,0,0.00,0,1,1,"… of clarity in central bank communication within the context of … for the clarity of central bank communication and explore its … to the literature on central bank communication by providing …","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=5248442","https://scholar.google.com/scholar?q=related:q67NTLBxbRYJ:scholar.google.com/&scioq=%22central+bank+communication%22&hl=en&as_sdt=2007&as_ylo=2025&as_yhi=2025"
0,"M Szyszko, A Rutkowska, O Motuzka","Central bank communication during the war: the case of the National Bank of Ukraine",2025,"Post-Soviet Affairs","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/1060586X.2025.2528508","",9,"2026-02-04 17:13:16","","10.1080/1060586X.2025.2528508","",,,,,,0,0.00,0,3,1,"… This study addresses the issue of central bank communication beyond the context of monetary policy. As we discuss the central bank of a country that is undergoing a full-scale military …","","https://scholar.google.com/scholar?q=related:j-0DXC_wUWoJ:scholar.google.com/&scioq=%22central+bank+communication%22&hl=en&as_sdt=2007&as_ylo=2025&as_yhi=2025"
0,"A Wabitsch","Inflation expectations &central bank communication",2025,"","ora.ox.ac.uk","https://ora.ox.ac.uk/objects/uuid:a5bfc78b-c1f2-4a01-af81-db2b682facc5","",10,"2026-02-04 17:13:16","","","",,,,,,0,0.00,0,1,1,"… to address critical questions: Is central bank communication successfully reaching the public? … To investigate how messenger characteristics affect central bank communication, focusing …","https://ora.ox.ac.uk/objects/uuid:a5bfc78b-c1f2-4a01-af81-db2b682facc5/files/dr494vk98h","https://scholar.google.com/scholar?q=related:wZo-ApepPIEJ:scholar.google.com/&scioq=%22central+bank+communication%22&hl=en&as_sdt=2007&as_ylo=2025&as_yhi=2025"
22,"C Binder, P Kuang, L Tang","Central bank communication and house price expectations",2025,"Journal of the European Economic …","academic.oup.com","https://academic.oup.com/jeea/advance-article-abstract/doi/10.1093/jeea/jvaf042/8275746","https://scholar.google.com/scholar?cites=12508346348746101813&as_sdt=2005&sciodt=2007&hl=en",11,"2026-02-04 17:13:16","","10.1093/jeea/jvaf042/8275746","",,,,,,22,22.00,7,3,1,"We use a series of online surveys to study how US consumers’ house price expectations respond to interest rate expectations. Communication about interest rates has little effect on …","https://www.nber.org/system/files/working_papers/w31232/w31232.pdf","https://scholar.google.com/scholar?q=related:NdSQbLuSlq0J:scholar.google.com/&scioq=%22central+bank+communication%22&hl=en&as_sdt=2007&as_ylo=2025&as_yhi=2025"
32,"E Campiglio, J Deyris, D Romelli, G Scalisi","Warning words in a warming world: Central bank communication and climate change",2025,"","sciencespo.hal.science","https://sciencespo.hal.science/hal-04978072/","https://scholar.google.com/scholar?cites=6889228023722650537&as_sdt=2005&sciodt=2007&hl=en",12,"2026-02-04 17:13:16","","","",,,,,,32,32.00,8,4,1,"… We study climate-related central bank communication using a novel dataset containing 35,487 speeches delivered by 131 central banks from 1986 to 2023. We employ natural …","https://sciencespo.hal.science/hal-04978072/document","https://scholar.google.com/scholar?q=related:qaunCmN0m18J:scholar.google.com/&scioq=%22central+bank+communication%22&hl=en&as_sdt=2007&as_ylo=2025&as_yhi=2025"
0,"J Zhang, Y Cui, Y Jin","Dynamic interaction between public trust and central bank communication",2025,"Economic Analysis and Policy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0313592625003261","",13,"2026-02-04 17:13:16","HTML","","",,,,,,0,0.00,0,3,1,"Central bank communication does not necessarily benefit from maximal transparency; the optimal strategy depends on public trust levels. This paper integrates public trust into a …","https://www.sciencedirect.com/science/article/pii/S0313592625003261","https://scholar.google.com/scholar?q=related:6B8_q4_HMFIJ:scholar.google.com/&scioq=%22central+bank+communication%22&hl=en&as_sdt=2007&as_ylo=2025&as_yhi=2025"
9,"N Fanta, R Horvath","Artificial intelligence and central bank communication: the case of the ECB",2025,"Applied Economics Letters","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/13504851.2024.2337318","https://scholar.google.com/scholar?cites=12408348961124588741&as_sdt=2005&sciodt=2007&hl=en",14,"2026-02-04 17:13:16","","10.1080/13504851.2024.2337318","",,,,,,9,9.00,5,2,1,"… used human assessment of central bank communication.Footnote 2 … human assessment of central bank communication events, the AI-… and consistent central bank communication helps …","https://www.econstor.eu/bitstream/10419/286358/1/wp-2023-29.pdf","https://scholar.google.com/scholar?q=related:xRzrTKNPM6wJ:scholar.google.com/&scioq=%22central+bank+communication%22&hl=en&as_sdt=2007&as_ylo=2025&as_yhi=2025"
0,"AV Koshkin, IV Pen'kova","The evolution of the concept of central bank communication as a tool: from a threat to financial stability to an element of the economic security system",2025,"National Security/nota bene","journals.rcsi.science","https://journals.rcsi.science/2454-0668/article/view/www.pravo.gov.ru","",15,"2026-02-04 17:13:16","","","",,,,,,0,0.00,0,2,1,"… The scientific novelty of the work lies in the systematic justification of the transition of central bank communication into the category of elements of national economic security. A key …","","https://scholar.google.com/scholar?q=related:Z_AuxMuUtU4J:scholar.google.com/&scioq=%22central+bank+communication%22&hl=en&as_sdt=2007&as_ylo=2025&as_yhi=2025"
9,"TC Silva, K Moriya, MRM Veyrune, R Veyrune","From text to quantified insights: a large-scale llm analysis of central bank communication",2025,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=6PtkEQAAQBAJ&oi=fnd&pg=PP1&dq=%22central+bank+communication%22&ots=7AuPm_MX-D&sig=qZjFAhzeXm1Oj7dONKHYSi8xedI","https://scholar.google.com/scholar?cites=1335341599667651700&as_sdt=2005&sciodt=2007&hl=en",16,"2026-02-04 17:13:16","BOOK","","",,,,,,9,9.00,2,4,1,"… management and output gap assessment in central bank communication. While the financial sector is the primary recipient of central bank communication, we find an increased …","https://www.imf.org/-/media/files/publications/wp/2025/english/wpiea2025109-print-pdf.pdf","https://scholar.google.com/scholar?q=related:dAT-JRwWiBIJ:scholar.google.com/&scioq=%22central+bank+communication%22&hl=en&as_sdt=2007&as_ylo=2025&as_yhi=2025"
0,"S Auld","Perspectives from a Consumer of Central Bank Communication",2025,"RBA Annual Conference Papers","rba.gov.au","https://www.rba.gov.au/publications/confs/2024/pdf/rba-conference-2024-auld.pdf","",17,"2026-02-04 17:13:16","PDF","","",,,,,,0,0.00,0,1,1,"… my experience of central bank communication over my career… Central bank communication has gone from simply being the … might like to think of central bank communication as a stand-…","https://www.rba.gov.au/publications/confs/2024/pdf/rba-conference-2024-auld.pdf","https://scholar.google.com/scholar?q=related:h_AP7vYOqWcJ:scholar.google.com/&scioq=%22central+bank+communication%22&hl=en&as_sdt=2007&as_ylo=2025&as_yhi=2025"
0,"M Conesa Martinez","Leveraging central bank communication to foster sustainable finance",2025,"","eprints.lse.ac.uk","https://eprints.lse.ac.uk/130756/","",18,"2026-02-04 17:13:16","","","",,,,,,0,0.00,0,1,1,"… The literature has extensively explored how central bank communication influences macroeconomic dynamics and economic behaviour.Recently, a growing body of research has …","https://eprints.lse.ac.uk/130756/1/Leveraging-central-bank-communication-to-foster-sustainable-finance.pdf","https://scholar.google.com/scholar?q=related:q083OgNgsoMJ:scholar.google.com/&scioq=%22central+bank+communication%22&hl=en&as_sdt=2007&as_ylo=2025&as_yhi=2025"
0,"E Ernst, R Merola, AGW Auclair","Central Bank Review",,"researchgate.net","","https://www.researchgate.net/profile/Rossana-Merola/publication/394480828_Central_bank_communication_A_quantitative_assessment/links/689dd8171156f345cea0edda/Central-bank-communication-A-quantitative-assessment.pdf","",19,"2026-02-04 17:13:16","PDF","","",,,,,,0,0.00,0,3,,"… Concerns about endogeneity aside, this causal direction speaks to our interest in whether central bank communication is consistent with policy actions. We run the local projections …","https://www.researchgate.net/profile/Rossana-Merola/publication/394480828_Central_bank_communication_A_quantitative_assessment/links/689dd8171156f345cea0edda/Central-bank-communication-A-quantitative-assessment.pdf","https://scholar.google.com/scholar?q=related:nnOHccfGk3EJ:scholar.google.com/&scioq=%22central+bank+communication%22&hl=en&as_sdt=2007&as_ylo=2025&as_yhi=2025"
