post_id,reaction_id,reaction_count,reaction_raw_data
3,1,8280,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""💩""}, ""count"": 8280, ""chosen_order"": null}"
3,2,625,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""👍""}, ""count"": 625, ""chosen_order"": null}"
3,3,191,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""❤""}, ""count"": 191, ""chosen_order"": null}"
3,4,57,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""🤮""}, ""count"": 57, ""chosen_order"": null}"
3,5,35,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""🤬""}, ""count"": 35, ""chosen_order"": null}"
3,6,28,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""👎""}, ""count"": 28, ""chosen_order"": null}"
3,7,24,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""😁""}, ""count"": 24, ""chosen_order"": null}"
3,8,21,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""🔥""}, ""count"": 21, ""chosen_order"": null}"
3,9,20,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""🤔""}, ""count"": 20, ""chosen_order"": null}"
3,10,18,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""🤯""}, ""count"": 18, ""chosen_order"": null}"
3,11,16,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""😱""}, ""count"": 16, ""chosen_order"": null}"
4,1,8288,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""💩""}, ""count"": 8288, ""chosen_order"": null}"
4,2,442,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""👍""}, ""count"": 442, ""chosen_order"": null}"
4,3,138,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""❤""}, ""count"": 138, ""chosen_order"": null}"
4,4,56,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""🤮""}, ""count"": 56, ""chosen_order"": null}"
4,5,35,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""🤬""}, ""count"": 35, ""chosen_order"": null}"
4,17,14,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""🥰""}, ""count"": 14, ""chosen_order"": null}"
4,18,13,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""👏""}, ""count"": 13, ""chosen_order"": null}"
4,9,9,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""🤔""}, ""count"": 9, ""chosen_order"": null}"
4,20,9,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""🎉""}, ""count"": 9, ""chosen_order"": null}"
4,7,8,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""😁""}, ""count"": 8, ""chosen_order"": null}"
4,8,6,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""🔥""}, ""count"": 6, ""chosen_order"": null}"
5,1,9012,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""💩""}, ""count"": 9012, ""chosen_order"": null}"
5,2,344,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""👍""}, ""count"": 344, ""chosen_order"": null}"
5,3,137,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""❤""}, ""count"": 137, ""chosen_order"": null}"
5,4,38,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""🤮""}, ""count"": 38, ""chosen_order"": null}"
5,5,24,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""🤬""}, ""count"": 24, ""chosen_order"": null}"
5,17,17,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""🥰""}, ""count"": 17, ""chosen_order"": null}"
5,9,15,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""🤔""}, ""count"": 15, ""chosen_order"": null}"
5,6,13,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""👎""}, ""count"": 13, ""chosen_order"": null}"
5,18,9,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""👏""}, ""count"": 9, ""chosen_order"": null}"
5,10,9,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""🤯""}, ""count"": 9, ""chosen_order"": null}"
5,8,6,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""🔥""}, ""count"": 6, ""chosen_order"": null}"
7,1,10419,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""💩""}, ""count"": 10419, ""chosen_order"": null}"
7,2,582,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""👍""}, ""count"": 582, ""chosen_order"": null}"
7,3,165,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""❤""}, ""count"": 165, ""chosen_order"": null}"
7,4,45,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""🤮""}, ""count"": 45, ""chosen_order"": null}"
7,5,38,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""🤬""}, ""count"": 38, ""chosen_order"": null}"
7,8,12,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""🔥""}, ""count"": 12, ""chosen_order"": null}"
7,18,9,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""👏""}, ""count"": 9, ""chosen_order"": null}"
7,9,9,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""🤔""}, ""count"": 9, ""chosen_order"": null}"
7,20,9,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""🎉""}, ""count"": 9, ""chosen_order"": null}"
7,43,6,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""😢""}, ""count"": 6, ""chosen_order"": null}"
7,11,5,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""😱""}, ""count"": 5, ""chosen_order"": null}"
8,1,11562,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""💩""}, ""count"": 11562, ""chosen_order"": null}"
8,2,384,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""👍""}, ""count"": 384, ""chosen_order"": null}"
8,3,163,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""❤""}, ""count"": 163, ""chosen_order"": null}"
8,4,56,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""🤮""}, ""count"": 56, ""chosen_order"": null}"
8,6,32,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""👎""}, ""count"": 32, ""chosen_order"": null}"
8,5,21,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""🤬""}, ""count"": 21, ""chosen_order"": null}"
8,8,15,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""🔥""}, ""count"": 15, ""chosen_order"": null}"
8,9,10,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""🤔""}, ""count"": 10, ""chosen_order"": null}"
8,17,8,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""🥰""}, ""count"": 8, ""chosen_order"": null}"
8,7,8,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""😁""}, ""count"": 8, ""chosen_order"": null}"
8,43,6,"{""_"": ""ReactionCount"", ""reaction"": {""_"": ""ReactionEmoji"", ""emoticon"": ""😢""}, ""count"": 6, ""chosen_order"": null}"
