reaction_id,reaction_type,reaction_emoji,reaction_custom_emoji_id,reaction_identifier,reaction_media_path
1,emoji,💩,,emoji_1f4a9,react/emoji_1f4a9.svg
2,emoji,👍,,emoji_1f44d,react/emoji_1f44d.svg
3,emoji,❤,,emoji_2764,react/emoji_2764.svg
4,emoji,🤮,,emoji_1f92e,react/emoji_1f92e.svg
5,emoji,🤬,,emoji_1f92c,react/emoji_1f92c.svg
6,emoji,👎,,emoji_1f44e,react/emoji_1f44e.svg
7,emoji,😁,,emoji_1f601,react/emoji_1f601.svg
8,emoji,🔥,,emoji_1f525,react/emoji_1f525.svg
9,emoji,🤔,,emoji_1f914,react/emoji_1f914.svg
10,emoji,🤯,,emoji_1f92f,react/emoji_1f92f.svg
11,emoji,😱,,emoji_1f631,react/emoji_1f631.svg
17,emoji,🥰,,emoji_1f970,react/emoji_1f970.svg
18,emoji,👏,,emoji_1f44f,react/emoji_1f44f.svg
20,emoji,🎉,,emoji_1f389,react/emoji_1f389.svg
43,emoji,😢,,emoji_1f622,react/emoji_1f622.svg
389,emoji,🤩,,emoji_1f929,react/emoji_1f929.svg
3453,custom_emoji,,5.431396547097031e+18,custom_5431396547097030534,react/custom_5431396547097030534.webp
98784,custom_emoji,,5.294334558609629e+18,custom_5294334558609629375,react/custom_5294334558609629375.webp
169885,custom_emoji,,5.346010836315954e+18,custom_5346010836315954683,react/custom_5346010836315954683.webm
169978,custom_emoji,,5.972287720284755e+18,custom_5972287720284755380,react/custom_5972287720284755380.webm
180973,custom_emoji,,5.224708023435404e+18,custom_5224708023435404637,react/custom_5224708023435404637.tgs
201594,custom_emoji,,5.415811790112055e+18,custom_5415811790112055254,react/custom_5415811790112055254.webp
260225,custom_emoji,,5.323513192029119e+18,custom_5323513192029119490,react/custom_5323513192029119490.webp
268917,custom_emoji,,5.294219088413879e+18,custom_5294219088413879657,react/custom_5294219088413879657.webp
311960,custom_emoji,,5.30805289031149e+18,custom_5308052890311489214,react/custom_5308052890311489214.webp
318476,custom_emoji,,5.294077234234026e+18,custom_5294077234234026413,react/custom_5294077234234026413.webp
325134,custom_emoji,,5.339475961970712e+18,custom_5339475961970711059,react/custom_5339475961970711059.webp
334559,custom_emoji,,5.431414843657711e+18,custom_5431414843657710291,react/custom_5431414843657710291.webp
334564,custom_emoji,,5.395869591236804e+18,custom_5395869591236803361,react/custom_5395869591236803361.webp
343842,custom_emoji,,5.222098366946635e+18,custom_5222098366946634989,react/custom_5222098366946634989.webp
346033,custom_emoji,,5.294100160769459e+18,custom_5294100160769459646,react/custom_5294100160769459646.webp
360108,custom_emoji,,5.247022225374064e+18,custom_5247022225374063963,react/custom_5247022225374063963.tgs
365511,custom_emoji,,5.463250403976031e+18,custom_5463250403976031619,react/custom_5463250403976031619.tgs
370990,custom_emoji,,5.215438440333606e+18,custom_5215438440333606315,react/custom_5215438440333606315.webp
382179,emoji,🦄,,emoji_1f984,react/emoji_1f984.svg
397583,custom_emoji,,5.341322145072974e+18,custom_5341322145072973523,react/custom_5341322145072973523.webp
398335,custom_emoji,,5.355043912748665e+18,custom_5355043912748665202,react/custom_5355043912748665202.webp
